id,sanskrit,english,level
42,Prasarita Padottanasana,Intense Wide Legged Forward Fold,1
33,Ardha Chandrasana,Half Moon,2
85,Surya Namaskar B,Sun Salutation B,1
83,Ardha Uttanasana,Standing Half Forward Bend,1
82,Uttanasana,Standing Forward Bend,1
40,Utthita Ashwa Sanchalanasana,High Lunge,1
41,Parsvottanasana,Intense Side Stretch,1
71,Parivrtta Trikonasana,Revolved Triangle,1
48,Natarajasana,Lord of the Dance,2
79,Vasisthasana,Side Plank,2
30,Malasana,Garland,2
52,Urdhva Hastasana,Mountain Pose w Upward Hands,1
50,Anjaneyasana,Low Lunge,1
46,Utthan Pristhasana,Lizard,2
23,Utthita Hasta Padangustasana,Extended Hand to Toe,1
25,Utthita Pasrvakonasana,Extended Side Angle,1
31,Parighasana,Gate,2
95,Virabhadrasana I,Warrior I,1
69,Parivrtta Parsvakonasana,Revolved Side Angle,1
57,Shanti Virabhadrasana,Peaceful Warrior,1
9,Utkatasana,Chair,1
93,Trikonasana,Triangle,1
97,Virabhadrasana III,Warrior III,2
86,Surya Namaskar,Sun Salutation Classic,1
20,Adho Mukha Svanasana,Downward Facing Dog,1
51,Tadasana,Mountain,1
84,Surya Namaskar A,Sun Salutation A ,1
92,Vrksasana,Tree,1
96,Virabhadrasana II,Warrior II,1
77,Utthita Parsva Konasana,Side Angle,1
26,Utthita Trikonasana,Extended Triangle,1
21,Garudasana,Eagle,2
99,Parivrtta Ardha Padottanasana,Wide-Legged Standing Forward Fold with a Twist,1
