company,location,strength
Glen Raven Inc.,Burlington NC,Tailored digital printing services
Milliken & Company,Spartanburg SC,Diverse and high-quality digital printing capabilities
Burlington Industries,Greensboro NC,Focus on durability and vibrant colors
Mount Vernon Mills,Mauldin SC,Intricate and detailed fabric designs
Aurora Specialty Textiles Group Inc.,Yorkville IL,Comprehensive digital printing solutions
Hamrick Mills,Gaffney SC,Customized digital printing solutions
Schoeller Textil USA,New York NY,State-of-the-art digital printing services
RNK,Los Angeles,nil
Hampton,NC,nil
Solid Stone,Virginia,nil
Cotswold,unknown,nil
Fairbailt mills,Maine,nil
Tuscarora Wovens,PA,nil
Greenwood mills,SC,nil
Inman Mills,SC,nil
Tweave / Gehring textiles,MA,nil
Schneider Mills,NC,nil
